"You will be redirected to www.webpay.by website when you place an order.", "You will be redirected to www.webpay.by website when you place an order."
"Payment for order #", "Payment for order #"
"WebPay payment module", "WebPay payment module"
"Redirect to www.webpay.by, please, wait!", "Redirect to www.webpay.by, please, wait!"
"The order has been cancelled. Order #", "The order has been cancelled. Order #"
"Gambit WebPay Payment Module", "Gambit WebPay Payment Module"
"Enabled", "Enabled"
"Title", "Title"
"WebPay id","WebPay id"
"To have access to the international payment network of WebPay, please register on www.webpay.by for a free account, if you don’t have one yet.", "To have access to the international payment network of WebPay, please register on <a href='www.webpay.by'>www.webpay.by</a> for a free account, if you don’t have one yet."
"Test payment", "Test Payment"
"Test payment on www.sandbox.webpay.by", "Test payment on www.sandbox.webpay.by"
"Crypt Key", "Crypt Key"
"Take it in www.webpay.by account settings", "Take it in www.webpay.by account settings"
"WebPay Currency", "WebPay Currency"
"BYR, USD, EUR, RUB", "Values: BYR, USD, EUR, RUB"
"Payment Version", "Payment Version"
"Default 2", "Default WebPay payment version value = 2"

