"You will be redirected to www.webpay.by website when you place an order.", "Когда заказ будет завершён, вас направит на сайт платежной системы www.webpay.by"
"Payment for order #", "Оплата счета #"
"WebPay payment module", "Платёжный модуль WebPay"
"Redirect to www.webpay.by, please, wait!", "Редирект на www.webpay.by, пожалуйста, подождите!"
"The order has been cancelled. Order #", "Заказ был отменен, заказ #"
"Gambit WebPay Payment Module","Платёжный модуль WebPay от www.webmaster-gambit.ru"
"Enabled","Включен"
"Title","Заголовок"
"WebPay id","WebPay id"
"To have access to the international payment network of WebPay, please register on www.webpay.by for a free account, if you don’t have one yet.", "Если у вас еще нет ID для приема платежей с помощью Webpay, вы можете зарегистироватся бесплатно на <a href='www.webpay.by'>www.webpay.by</a>"
"Test payment", "Тестовый Платёж"
"Test payment on www.sandbox.webpay.by", "Тестовый платёж на sandbox.webpay.by"
"Crypt Key", "Ключ Шифрования"
"Take it in www.webpay.by account settings", "Получить это значение можно в настройках аккаунта WebPay"
"WebPay Currency", "Валюта платежей WebPay"
"BYR, USD, EUR, RUB", "Допустимые значения: BYR, USD, EUR, RUB"
"Payment Version", "Версия платежа"
"Default 2", "Укажите версию платежей WebPay. Если не знаете какое значение указать - оставьте пустым. Значение по умолчанию = 2"
